"Gene","Membership","G32A_logFC","G32A_FDR","G32A_dir","R403C_logFC","R403C_FDR","R403C_dir","Mean_logFC"
"THSD1","R403C_only",2.597,0.0949,"Up",2.815,0.0354,"Up",2.706
"PCDH8","R403C_only",1.954,0.0846,"Up",3.163,0.00523,"Up",2.5585
"RLBP1","R403C_only",2.143,0.205,"Up",2.881,0.049,"Up",2.512
"NXPH4","R403C_only",2.454,0.084,"Up",2.544,0.0455,"Up",2.499
"TKTL1","R403C_only",0.746,0.753,"Up",3.962,0.0487,"Up",2.354
"OR1F1","R403C_only",1.991,0.117,"Up",2.606,0.0429,"Up",2.2985
"TSPAN1","R403C_only",2.138,0.0695,"Up",2.178,0.0387,"Up",2.158
"GPD1L","R403C_only",1.844,0.114,"Up",2.396,0.0402,"Up",2.12
"PDC","R403C_only",1.405,0.236,"Up",2.627,0.0351,"Up",2.016
"DGKG","R403C_only",1.684,0.117,"Up",2.27,0.0351,"Up",1.977
"GABRA5","R403C_only",1.683,0.141,"Up",2.26,0.0402,"Up",1.9715
"LINC00673","R403C_only",1.824,0.0727,"Up",2.005,0.0366,"Up",1.9145
"LOC124906331","R403C_only",1.569,0.0794,"Up",2.093,0.0298,"Up",1.831
"TMEM108","R403C_only",1.667,0.062,"Up",1.82,0.035,"Up",1.7435
"EDIL3","R403C_only",1.458,0.0846,"Up",1.779,0.0351,"Up",1.6185
"CHRDL1","R403C_only",1.208,0.136,"Up",1.76,0.035,"Up",1.484
"DIRAS2","R403C_only",1.282,0.0623,"Up",1.68,0.0234,"Up",1.481
"SORBS1","R403C_only",1.295,0.0949,"Up",1.587,0.0372,"Up",1.441
"SPOCK1","R403C_only",0.866,0.189,"Up",2,0.00523,"Up",1.433
"DCLK1","R403C_only",1.02,0.167,"Up",1.643,0.0354,"Up",1.3315
"ADAM21","R403C_only",1.101,0.123,"Up",1.465,0.0387,"Up",1.283
"PPP1R14B-AS1","R403C_only",1.044,0.0902,"Up",1.336,0.0295,"Up",1.19
"ZNF365","R403C_only",1.036,0.0949,"Up",1.301,0.0351,"Up",1.1685
"PRKY","R403C_only",1.046,0.0736,"Up",1.13,0.0487,"Up",1.088
"CHST11","R403C_only",0.97,0.0956,"Up",1.162,0.0373,"Up",1.066
"RAB29","R403C_only",0.924,0.126,"Up",1.181,0.0402,"Up",1.0525
"CAMTA2","R403C_only",0.872,0.11,"Up",1.122,0.0366,"Up",0.997
"AFF3","R403C_only",0.909,0.0865,"Up",1.069,0.0372,"Up",0.989
"STX12","R403C_only",0.885,0.0755,"Up",1.01,0.0354,"Up",0.9475
"NCS1","R403C_only",0.832,0.0778,"Up",1.033,0.0244,"Up",0.9325
"CAMK1D","R403C_only",0.808,0.12,"Up",1.036,0.0469,"Up",0.922
"ZHX3","R403C_only",0.674,0.123,"Up",1.065,0.0234,"Up",0.8695
"KLF7","R403C_only",0.637,0.188,"Up",1.08,0.0351,"Up",0.8585
"BLVRA","R403C_only",0.745,0.0852,"Up",0.916,0.0295,"Up",0.8305
"MICAL1","R403C_only",0.641,0.136,"Up",1.004,0.0244,"Up",0.8225
"SERINC3","R403C_only",0.796,0.0548,"Up",0.835,0.0351,"Up",0.8155
"TANK","R403C_only",0.699,0.0778,"Up",0.898,0.0234,"Up",0.7985
"ARL8A","R403C_only",0.744,0.0696,"Up",0.853,0.0335,"Up",0.7985
"ARHGEF2","R403C_only",0.681,0.0846,"Up",0.877,0.0244,"Up",0.779
"B4GALT5","R403C_only",0.744,0.0646,"Up",0.76,0.0402,"Up",0.752
"TMEM63B","R403C_only",0.671,0.0757,"Up",0.757,0.0354,"Up",0.714
"WSB2","R403C_only",0.65,0.0971,"Up",0.769,0.042,"Up",0.7095
"RTN4","R403C_only",0.665,0.0723,"Up",0.744,0.0351,"Up",0.7045
"TMEM25","R403C_only",0.583,0.138,"Up",0.798,0.0429,"Up",0.6905
"HECTD3","R403C_only",0.575,0.114,"Up",0.785,0.0351,"Up",0.68
"ESRRA","R403C_only",0.541,0.172,"Up",0.776,0.0498,"Up",0.6585
"PPP1R9B","R403C_only",0.519,0.108,"Up",0.751,0.0234,"Up",0.635
"SBF2","R403C_only",0.493,0.149,"Up",0.754,0.0351,"Up",0.6235
"REEP2","R403C_only",0.509,0.126,"Up",0.73,0.0351,"Up",0.6195
"ETFRF1","R403C_only",0.511,0.0995,"Up",0.704,0.0274,"Up",0.6075
"RNF11","R403C_only",0.417,0.101,"Up",0.52,0.0372,"Up",0.4685
"CLCN3","R403C_only",0.337,0.165,"Up",0.534,0.0351,"Up",0.4355
"UCHL1","R403C_only",0.255,0.271,"Up",0.498,0.0429,"Up",0.3765
"ZCCHC3","R403C_only",-0.541,0.0639,"Down",-0.552,0.0402,"Down",-0.5465
"PHF10","R403C_only",-0.531,0.0943,"Down",-0.611,0.0434,"Down",-0.571
"SLC25A37","R403C_only",-0.615,0.0639,"Down",-0.614,0.0424,"Down",-0.6145
"EIF5-DT","R403C_only",-0.409,0.265,"Down",-0.838,0.0372,"Down",-0.6235
"GSTCD","R403C_only",-0.785,0.0557,"Down",-0.812,0.0354,"Down",-0.7985
"ODC1","R403C_only",-0.827,0.0548,"Down",-0.804,0.0402,"Down",-0.8155
"LINC01126","R403C_only",-0.612,0.231,"Down",-1.337,0.0345,"Down",-0.9745
"LZTFL1","R403C_only",-1.008,0.0557,"Down",-1.032,0.0372,"Down",-1.02
"USP51","R403C_only",-0.983,0.084,"Down",-1.067,0.045,"Down",-1.025
"NEK2","R403C_only",-1.195,0.0548,"Down",-1.323,0.0295,"Down",-1.259
"EVC2","R403C_only",-1.242,0.0846,"Down",-1.325,0.042,"Down",-1.2835
"CYBA","R403C_only",-0.842,0.36,"Down",-1.986,0.0419,"Down",-1.414
"LRRC8D-DT","R403C_only",-1.225,0.151,"Down",-1.689,0.0487,"Down",-1.457
"ADGRL2","R403C_only",-1.446,0.0639,"Down",-1.505,0.0373,"Down",-1.4755
"LOC101928126","R403C_only",-0.592,0.614,"Down",-2.763,0.0459,"Down",-1.6775
"CFAP20DC","R403C_only",-1.536,0.104,"Down",-2.048,0.0366,"Down",-1.792
"FUT4","R403C_only",-1.787,0.0861,"Down",-2.175,0.0351,"Down",-1.981
"PNPLA4","R403C_only",-2.167,0.0846,"Down",-2.471,0.0402,"Down",-2.319
"LRFN5-DT","R403C_only",-1.836,0.114,"Down",-2.83,0.0234,"Down",-2.333
"NMU","R403C_only",-2.037,0.0673,"Down",-2.724,0.0174,"Down",-2.3805
"FES","R403C_only",-2.438,0.0863,"Down",-2.727,0.042,"Down",-2.5825
"TUBBP5","R403C_only",-2.268,0.0757,"Down",-2.961,0.0351,"Down",-2.6145
"SLC16A5","R403C_only",-2.466,0.0927,"Down",-3.342,0.0295,"Down",-2.904
"CRYZL2P","R403C_only",-2.841,0.0949,"Down",-3.361,0.0404,"Down",-3.101
"PRSS44P","R403C_only",-3.013,0.0625,"Down",-3.43,0.0283,"Down",-3.2215
"GUCY2F","R403C_only",-3.079,0.0867,"Down",-3.651,0.042,"Down",-3.365
"HTRA3","R403C_only",-3.142,0.114,"Down",-4.02,0.044,"Down",-3.581
"TCHH","R403C_only",-3.17,0.0846,"Down",-4.019,0.0234,"Down",-3.5945
"CMTM7","R403C_only",-5.143,0.0662,"Down",-4.101,0.0439,"Down",-4.622
