compartment,source_database,pathway_id,pathway_name,n_genes,jaccard_with_synaptic,jaccard_with_mito,jaccard_with_cytoplasmic,NES_D35_G32A,padj_D35_G32A,NES_TrajDev_G32A,padj_TrajDev_G32A,NES_D65_G32A,padj_D65_G32A,NES_D35_R403C,padj_D35_R403C,NES_TrajDev_R403C,padj_TrajDev_R403C,NES_D65_R403C,padj_D65_R403C,pattern_G32A,pattern_R403C
Cytoplasmic,gomf,gomf::GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY,GOMF_TRANSLATION_ELONGATION_FACTOR_ACTIVITY,15,0.574,0.0,1.0,1.12118872406444,0.570778129370985,-1.27233165580662,0.438588597806552,-0.561978791914186,1.0,1.22514259208589,0.393746351097039,-1.36799344733795,0.316302584002922,-0.85069734227552,0.99965983960351,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX,14,0.574,0.0,1.0,-0.812296992517916,0.885552942532681,-0.841152370264502,0.848859656442943,-1.30460817902333,0.963900029438315,0.952316687010122,0.67009218963898,-0.753412138582641,0.916674233063391,-1.06148644554986,0.905119773922981,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE,14,0.574,0.0,1.0,-0.785187130617545,0.9070004489673,-0.735015061124181,0.934449634486016,-1.01025878005276,1.0,-0.937731041352763,0.684911772518758,1.02517066836083,0.670236699498133,0.851145869219804,1.0,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_REGULATION_OF_TRANSLATIONAL_FIDELITY,GOBP_REGULATION_OF_TRANSLATIONAL_FIDELITY,14,0.574,0.0,1.0,-1.21350567338854,0.455490001497739,1.297298815271,0.376101192925501,1.12068668079845,1.0,-1.18002340951097,0.424173691086563,1.37488377961712,0.291490090354703,1.37157549755326,0.678882357571335,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS,GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS,14,0.574,0.0,1.0,-1.82181756797033,0.0328781826194504,1.97929373909803,0.0052482297507173,0.651071207938694,1.0,-1.39434859981055,0.22475954885504,1.51783922333488,0.170914925828335,0.766443511193072,1.0,Compensation,Complex
Cytoplasmic,gocc,gocc::GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR,GOCC_PRERIBOSOME_SMALL_SUBUNIT_PRECURSOR,13,0.574,0.0,1.0,-2.00778314788342,0.0027328070875736,1.65515512383082,0.0628006681614162,-1.25886253290947,0.916225838266657,-1.31644237859283,0.236160942637397,1.05014923877469,0.515472342117588,-0.815213981316572,0.999981460882462,Natural_improvement,Complex
Cytoplasmic,gocc,gocc::GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX,GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX,12,0.574,0.0,1.0,-1.13556758559882,0.447763987127759,0.825833598068891,0.816295842132528,-0.936782184654037,1.0,-1.07694753279352,0.481274854828935,1.14014587046457,0.422316778578831,0.542221893159308,0.999981460882462,Complex,Complex
Cytoplasmic,reactome,reactome::REACTOME_TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX,REACTOME_TRANSLATION_OF_REPLICASE_AND_ASSEMBLY_OF_THE_REPLICATION_TRANSCRIPTION_COMPLEX,12,0.574,0.0,1.0,1.08925040016532,0.54315919184716,-1.09299466559447,0.590675913884417,-0.63912626745357,0.999688672881678,1.30612862843892,0.298754614938582,-1.04623758743144,0.589833666882668,1.00669304592307,0.953928235249821,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_REGULATION_OF_TRANSLATIONAL_ELONGATION,GOBP_REGULATION_OF_TRANSLATIONAL_ELONGATION,11,0.574,0.0,1.0,0.70114183936245,0.957001091754831,-1.02300868322369,0.665393731120511,-0.930047237021479,1.0,-0.719009833582315,0.892159333543351,0.596918444551089,0.980997247467172,-0.876702807143355,0.995655183707857,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS,GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS,11,0.574,0.0,1.0,0.434929520333112,0.999984005374194,-0.938154281750296,0.75248276921278,-1.15397320144516,1.0,1.10021931225641,0.508154148651451,-1.55177244898384,0.164650898578724,-1.25194878191082,0.791786469738662,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX,GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX,10,0.574,0.0,1.0,-1.02352269538573,0.668899426013634,0.885080380909858,0.811361169693909,-1.41040933022752,0.899559091121168,-0.828523319396696,0.793237079981352,-0.87889431112129,0.806296458274121,-1.12562758099221,0.872715882316798,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION,10,0.574,0.0,1.0,0.742012476638826,0.932401757806902,-1.21247584075546,0.47215628919936,-1.47565344590453,0.868121032085533,1.0834032694284,0.530105899188919,-1.33268829797925,0.343915300362479,-1.28427372039716,0.766430577556192,Complex,Complex
Cytoplasmic,gobp,gobp::GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,10,0.574,0.0,1.0,1.1409087429571,0.539474178331985,-1.1513072173886,0.537126384858602,0.597264257296534,1.0,1.03505748972259,0.584099848800124,-0.787761017289241,0.886784453672087,-0.614101151354823,1.0,Complex,Complex
Cytoplasmic,gomf,gomf::GOMF_MRNA_BASE_PAIRING_TRANSLATIONAL_REPRESSOR_ACTIVITY,GOMF_MRNA_BASE_PAIRING_TRANSLATIONAL_REPRESSOR_ACTIVITY,10,0.574,0.0,1.0,-0.774300477623192,0.883668034763227,0.632279163356033,0.986509991214704,-1.07274244435699,1.0,-0.964817800188054,0.656293923817518,0.810095229262733,0.865608698404103,-1.49955363487614,0.490804645440274,Complex,Complex
