scope,database,mutation,pattern,n_pattern,n_db_total,n_db_eversig,n_db_classifiable,pct_of_db_total,pct_of_db_eversig,pct_of_db_classifiable
per_database,canon,R403C,Sign_reversal,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Progressive,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Late_onset,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Transient,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Natural_improvement,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Natural_worsening,0,17,5,1,0.00,0.00,0.00
per_database,canon,R403C,Complex,4,17,5,1,23.53,80.00,NA
per_database,cgp,G32A,Compensation,442,2985,1454,748,14.81,30.40,59.09
per_database,cgp,G32A,Sign_reversal,97,2985,1454,748,3.25,6.67,12.97
per_database,cgp,G32A,Progressive,0,2985,1454,748,0.00,0.00,0.00
per_database,cgp,G32A,Late_onset,47,2985,1454,748,1.57,3.23,6.28
per_database,cgp,G32A,Transient,1,2985,1454,748,0.03,0.07,0.13
per_database,cgp,G32A,Natural_improvement,161,2985,1454,748,5.39,11.07,21.52
per_database,cgp,G32A,Natural_worsening,0,2985,1454,748,0.00,0.00,0.00
per_database,cgp,G32A,Complex,706,2985,1454,748,23.65,48.56,NA
per_database,cgp,R403C,Compensation,524,2985,1454,905,17.55,36.04,57.90
per_database,cgp,R403C,Sign_reversal,106,2985,1454,905,3.55,7.29,11.71
per_database,cgp,R403C,Progressive,0,2985,1454,905,0.00,0.00,0.00
per_database,cgp,R403C,Late_onset,12,2985,1454,905,0.40,0.83,1.33
per_database,cgp,R403C,Transient,1,2985,1454,905,0.03,0.07,0.11
per_database,cgp,R403C,Natural_improvement,260,2985,1454,905,8.71,17.88,28.73
per_database,cgp,R403C,Natural_worsening,2,2985,1454,905,0.07,0.14,0.22
per_database,cgp,R403C,Complex,549,2985,1454,905,18.39,37.76,NA
per_database,tf,G32A,Compensation,9,272,66,29,3.31,13.64,31.03
per_database,tf,G32A,Sign_reversal,3,272,66,29,1.10,4.55,10.34
per_database,tf,G32A,Progressive,0,272,66,29,0.00,0.00,0.00
per_database,tf,G32A,Late_onset,0,272,66,29,0.00,0.00,0.00
per_database,tf,G32A,Transient,0,272,66,29,0.00,0.00,0.00
per_database,tf,G32A,Natural_improvement,17,272,66,29,6.25,25.76,58.62
per_database,tf,G32A,Natural_worsening,0,272,66,29,0.00,0.00,0.00
per_database,tf,G32A,Complex,37,272,66,29,13.60,56.06,NA
per_database,tf,R403C,Compensation,3,272,66,8,1.10,4.55,37.50
per_database,tf,R403C,Sign_reversal,1,272,66,8,0.37,1.52,12.50
per_database,tf,R403C,Progressive,0,272,66,8,0.00,0.00,0.00
