"Module","Display_Name","Source_Database","Expression_vs_CtrlD35_G32A_35","Expression_vs_CtrlD35_R403C_35","Expression_vs_CtrlD35_G32A_65","Expression_vs_CtrlD35_R403C_65","Divergence_vs_Ctrl_G32A_35","Divergence_vs_Ctrl_R403C_35","Divergence_vs_Ctrl_G32A_65","Divergence_vs_Ctrl_R403C_65","p_adjusted_G32A_35","p_adjusted_R403C_35","p_adjusted_G32A_65","p_adjusted_R403C_65","significant_G32A_35","significant_R403C_35","significant_G32A_65","significant_R403C_65","TrajDev_G32A","TrajDev_R403C","Pattern_G32A","Confidence_G32A","Pattern_R403C","Confidence_R403C","Change_Consistency","Super_Category_G32A","Super_Category_R403C"
"ATP_Hydrolysis",NA,NA,-0.75346415702023,-0.623266663405876,-0.87204792222127,-0.674150459205774,-0.75346415702023,-0.623266663405876,0.021871094537954,0.21976855755345,0.226801177337586,0.226801177337586,0.945807883325585,0.650658191641989,FALSE,FALSE,FALSE,FALSE,0.775335251558184,0.843035220959326,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"Cytoplasmic_Translation","Cytoplasmic Translation","GO:BP",0.522560274564608,0.309951499256232,0.272801125497771,0.272456341705524,0.522560274564608,0.309951499256232,-0.250481666731467,-0.250826450523714,0.650658191641989,0.650658191641989,0.795379757863717,0.795379757863717,FALSE,FALSE,FALSE,FALSE,-0.773041941296076,-0.560777949779946,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"Mito_Ribosome_Assembly","Mito Ribosome Assembly","MitoCarta",-0.535301550327879,-0.484039913628444,-0.601339259147203,-0.513780125006402,-0.535301550327879,-0.484039913628444,0.134440863160196,0.221999997300998,0.238893799710625,0.226801177337586,0.650658191641989,0.650658191641989,FALSE,FALSE,FALSE,FALSE,0.669742413488075,0.706039910929442,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"Mitochondrial_Ribosome","Mitochondrial Ribosome","MitoCarta",-0.472385752330921,-0.333339554652634,-0.631127082975681,-0.492575650361895,-0.472385752330921,-0.333339554652634,-0.136694215294777,0.00185721731900892,0.650658191641989,0.650658191641989,0.650658191641989,0.994404365069891,FALSE,FALSE,FALSE,FALSE,0.335691537036145,0.335196771971643,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"OXPHOS","OXPHOS","MitoCarta",-0.299674970063942,-0.278080480512416,-0.422021842448671,-0.318336069211029,-0.299674970063942,-0.278080480512416,-0.0990426202540588,0.00464315298358382,0.650658191641989,0.650658191641989,0.650658191641989,0.994404365069891,FALSE,FALSE,FALSE,FALSE,0.200632349809883,0.282723633496,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"Ribosome_Biogenesis","Ribosome Biogenesis","GO:BP",-0.833045272241563,-0.608240930529383,-0.71196319477237,-0.579841254036245,-0.833045272241563,-0.608240930529383,0.0231230736465542,0.155245014382679,0.226801177337586,0.238893799710625,0.945807883325585,0.795379757863717,FALSE,FALSE,FALSE,FALSE,0.856168345888117,0.763485944912062,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
"Synaptic_Ribosomes","Synaptic Ribosomes","SynGO",0.368253668373153,0.208040370090032,0.128797753022642,0.0941574819788196,0.368253668373153,0.208040370090032,-0.270376801783666,-0.305017072827489,0.650658191641989,0.795379757863717,0.795379757863717,0.795379757863717,FALSE,FALSE,FALSE,FALSE,-0.638630470156818,-0.51305744291752,"Complex",NA,"Complex",NA,"Consistent_Complex","Other","Other"
