gene,pathway,mutation
DBN1,GO:0045211,R403C
SUMO1,GO:0099523,R403C
SUMO1,GO:0099524,R403C
RPS7,SYNGO:postsyn_ribosome,R403C
RPS7,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL15,SYNGO:presyn_ribosome,R403C
RPL15,SYNGO:postsyn_ribosome,R403C
RPL15,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL30,SYNGO:postsyn_ribosome,R403C
RPL30,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS16,SYNGO:presyn_ribosome,R403C
RPS16,SYNGO:postsyn_ribosome,R403C
RPS16,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL31,SYNGO:postsyn_ribosome,R403C
RPL31,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS28,SYNGO:presyn_ribosome,R403C
RPS28,SYNGO:postsyn_ribosome,R403C
RPS28,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL27A,SYNGO:presyn_ribosome,R403C
RPL27A,SYNGO:postsyn_ribosome,R403C
RPL27A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL21,SYNGO:postsyn_ribosome,R403C
RPL21,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL14,SYNGO:presyn_ribosome,R403C
RPL14,SYNGO:postsyn_ribosome,R403C
RPS14,SYNGO:presyn_ribosome,R403C
RPS14,SYNGO:postsyn_ribosome,R403C
RPS14,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL24,SYNGO:presyn_ribosome,R403C
RPL24,SYNGO:postsyn_ribosome,R403C
RPL24,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS3,SYNGO:postsyn_ribosome,R403C
RPS3,GOCC_CYTOSOLIC_RIBOSOME,R403C
NCS1,GO:0099523,R403C
NCS1,GO:0099524,R403C
RPL22,SYNGO:presyn_ribosome,R403C
RPL22,SYNGO:postsyn_ribosome,R403C
RPL22,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL5,SYNGO:presyn_ribosome,R403C
RPL5,SYNGO:postsyn_ribosome,R403C
RPL5,GOCC_CYTOSOLIC_RIBOSOME,R403C
SYT1,GO:0099523,R403C
SYT1,GO:0099524,R403C
SYT1,GO:0014069,R403C
SYT1,GO:0045211,R403C
RPL34,SYNGO:presyn_ribosome,R403C
RPL34,SYNGO:postsyn_ribosome,R403C
RPL34,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS19,SYNGO:postsyn_ribosome,R403C
RPS19,GOCC_CYTOSOLIC_RIBOSOME,R403C
CALM3,GO:0099523,R403C
CALM3,GO:0099524,R403C
RPL8,SYNGO:presyn_ribosome,R403C
RPL8,SYNGO:postsyn_ribosome,R403C
RPL8,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL7,SYNGO:presyn_ribosome,R403C
RPL7,SYNGO:postsyn_ribosome,R403C
RPL7,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL23,SYNGO:presyn_ribosome,R403C
RPL23,SYNGO:postsyn_ribosome,R403C
RPL23,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL4,SYNGO:presyn_ribosome,R403C
RPL4,SYNGO:postsyn_ribosome,R403C
RPL4,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS4X,GOCC_CYTOSOLIC_RIBOSOME,R403C
CALM1,GO:0099523,R403C
CALM1,GO:0099524,R403C
UBE2I,GO:0099523,R403C
UBE2I,GO:0099524,R403C
RPL13A,SYNGO:presyn_ribosome,R403C
RPL13A,SYNGO:postsyn_ribosome,R403C
RPL13A,GOCC_CYTOSOLIC_RIBOSOME,R403C
TNK2,GO:0099523,R403C
TNK2,GO:0099524,R403C
ANK3,GO:0014069,R403C
RPL41,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL10A,SYNGO:presyn_ribosome,R403C
RPL10A,SYNGO:postsyn_ribosome,R403C
RPL10A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL27,SYNGO:presyn_ribosome,R403C
RPL27,SYNGO:postsyn_ribosome,R403C
RPL27,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS27,SYNGO:presyn_ribosome,R403C
RPS27,SYNGO:postsyn_ribosome,R403C
RPS27,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPLP1,SYNGO:postsyn_ribosome,R403C
RPLP1,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL29,SYNGO:presyn_ribosome,R403C
RPL29,SYNGO:postsyn_ribosome,R403C
RPL29,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS8,SYNGO:postsyn_ribosome,R403C
RPS8,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL39,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL36,SYNGO:presyn_ribosome,R403C
RPL36,SYNGO:postsyn_ribosome,R403C
RPL36,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL37A,SYNGO:presyn_ribosome,R403C
RPL37A,SYNGO:postsyn_ribosome,R403C
RPL37A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL12,SYNGO:presyn_ribosome,R403C
RPL12,SYNGO:postsyn_ribosome,R403C
RPL12,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS15A,SYNGO:presyn_ribosome,R403C
RPS15A,SYNGO:postsyn_ribosome,R403C
RPS15A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS6,SYNGO:presyn_ribosome,R403C
RPS6,SYNGO:postsyn_ribosome,R403C
RPS6,GOCC_CYTOSOLIC_RIBOSOME,R403C
UBA52,SYNGO:presyn_ribosome,R403C
UBA52,SYNGO:postsyn_ribosome,R403C
UBA52,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL28,SYNGO:presyn_ribosome,R403C
RPL28,SYNGO:postsyn_ribosome,R403C
RPL28,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL17,SYNGO:presyn_ribosome,R403C
RPL17,SYNGO:postsyn_ribosome,R403C
RPL17,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL9,SYNGO:presyn_ribosome,R403C
RPL9,SYNGO:postsyn_ribosome,R403C
RPL9,GOCC_CYTOSOLIC_RIBOSOME,R403C
FUS,GO:0099523,R403C
FUS,GO:0099524,R403C
