gene,pathway,mutation
RPL11,SYNGO:presyn_ribosome,R403C
RPL11,SYNGO:postsyn_ribosome,R403C
RPL11,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS12,SYNGO:presyn_ribosome,R403C
RPS12,SYNGO:postsyn_ribosome,R403C
RPS12,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS29,GOCC_CYTOSOLIC_RIBOSOME,R403C
ANKS1B,GO:0099523,R403C
ANKS1B,GO:0014069,R403C
RPL13,SYNGO:presyn_ribosome,R403C
RPL13,SYNGO:postsyn_ribosome,R403C
RPL13,GOCC_CYTOSOLIC_RIBOSOME,R403C
FBXO45,GO:0099523,R403C
FBXO45,GO:0099524,R403C
RPL26,SYNGO:presyn_ribosome,R403C
RPL26,SYNGO:postsyn_ribosome,R403C
RPL26,GOCC_CYTOSOLIC_RIBOSOME,R403C
ADGRA1,GO:0014069,R403C
HTT,GO:0099523,R403C
HTT,GO:0099524,R403C
SUMO2,GO:0099523,R403C
SUMO2,GO:0099524,R403C
RPL18,SYNGO:presyn_ribosome,R403C
RPL18,SYNGO:postsyn_ribosome,R403C
RPL18,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL32,SYNGO:presyn_ribosome,R403C
RPL32,SYNGO:postsyn_ribosome,R403C
RPL32,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS27A,SYNGO:presyn_ribosome,R403C
RPS27A,SYNGO:postsyn_ribosome,R403C
RPS27A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL19,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL35A,SYNGO:presyn_ribosome,R403C
RPL35A,SYNGO:postsyn_ribosome,R403C
RPL35A,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL6,SYNGO:presyn_ribosome,R403C
RPL6,SYNGO:postsyn_ribosome,R403C
RPL6,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPLP2,SYNGO:presyn_ribosome,R403C
RPLP2,SYNGO:postsyn_ribosome,R403C
RPLP2,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL3,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS20,SYNGO:postsyn_ribosome,R403C
RPS20,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL38,SYNGO:presyn_ribosome,R403C
RPL38,SYNGO:postsyn_ribosome,R403C
RPL38,GOCC_CYTOSOLIC_RIBOSOME,R403C
HNRNPA2B1,GO:0099524,R403C
HNRNPA2B1,GO:0014069,R403C
DBN1,GO:0099524,R403C
DBN1,GO:0014069,R403C
