gene,pathway,mutation
RPL11,SYNGO:presyn_ribosome,R403C
RPL11,SYNGO:postsyn_ribosome,R403C
RPL11,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL11,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,R403C
RPL11,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPL11,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,R403C
RPL11,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,R403C
RPL11,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,R403C
RPS12,SYNGO:presyn_ribosome,R403C
RPS12,SYNGO:postsyn_ribosome,R403C
RPS12,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS12,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,R403C
RPS12,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPS12,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,R403C
RPS12,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,R403C
RPS12,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,R403C
RPS29,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPS29,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,R403C
RPS29,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPS29,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,R403C
RPS29,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,R403C
RPS29,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,R403C
ANKS1B,GO:0099523,R403C
ANKS1B,GO:0014069,R403C
RPL13,SYNGO:presyn_ribosome,R403C
RPL13,SYNGO:postsyn_ribosome,R403C
RPL13,GOCC_CYTOSOLIC_RIBOSOME,R403C
RPL13,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,R403C
RPL13,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPL13,KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,R403C
RPL13,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,R403C
RPL13,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,R403C
FBXO45,GO:0099523,R403C
FBXO45,GO:0099524,R403C
NCS1,GO:0099523,R403C
NCS1,GO:0099524,R403C
RPS6KA3,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,R403C
RPL26,SYNGO:presyn_ribosome,R403C
