"pathway_id","gene_symbol"
"GO:0014069","MAPK1"
"GO:0099523","MARCKS"
"GO:0099523","MARCKSL1"
"GO:0014069","MDM2"
"GO:0014069","MIB1"
"GO:0014069","MPDZ"
"GO:0099524","MTOR"
"GO:0014069","MYO6"
"GO:0045211","NAPEPLD"
"GO:0014069","NCKAP1"
"GO:0099523","NCS1"
"GO:0099524","NCS1"
"GO:0099524","NEDD4"
"GO:0014069","NEGR1"
"GO:0014069","NEURL1"
"GO:0045211","NRGN"
"GO:0099523","NSF"
"GO:0045211","NTRK2"
"GO:0014069","NUMB"
"GO:0099523","OGT"
"GO:0099524","OGT"
"GO:0014069","OPCML"
"GO:0014069","PAK1"
"GO:0014069","PAK2"
"GO:0014069","PAK3"
"GO:0014069","PAK6"
"GO:0014069","PCBP1"
"GO:0014069","PCBP2"
"GO:0014069","PCDH7"
"GO:0014069","PDLIM4"
"GO:0014069","PHB1"
"GO:0014069","PHB2"
"GO:0099524","PIAS1"
"GO:0099523","PIAS1"
"GO:0099524","PIAS3"
"GO:0099523","PIAS3"
"GO:0099524","PIN1"
"GO:0014069","PIP5K1C"
"GO:0014069","PJA2"
"GO:0099524","PLCB1"
"GO:0099524","PLCB3"
"GO:0014069","PLCB4"
"GO:0014069","PLEKHA5"
"GO:0099523","PNKD"
"GO:0099523","PPFIA2"
"GO:0099523","PPFIA2"
"GO:0014069","PPFIA2"
"GO:0014069","PPP1R9A"
"GO:0014069","PPP1R9B"
"GO:0014069","PPP1R9B"
"GO:0099523","PPP3CC"
"GO:0099523","PPP3CC"
"GO:0099523","PPT1"
"GO:0014069","PRICKLE1"
"GO:0014069","PRICKLE2"
"GO:0014069","PRICKLE2"
"GO:0099523","PRKCA"
"GO:0099523","PRKCB"
"GO:0099524","PRKCD"
"GO:0099523","PRKCE"
"GO:0099523","PRKCG"
"GO:0099524","PRKCG"
"GO:0014069","PRKCZ"
"GO:0099524","PTEN"
"GO:0014069","PURA"
"GO:0099523","RABEP1"
"GO:0014069","RAPGEF4"
"GO:0099523","RAPH1"
"GO:0014069","RBMX"
"GO:0014069","RELN"
"GO:0014069","RGS14"
"GO:0099524","RGS4"
"GO:0045211","RGS7"
"GO:0045211","RGS7"
"GO:0014069","RHEB"
"GO:0099524","RIMS3"
"GO:0014069","ROCK2"
"SYNGO:presyn_ribosome","RPL10"
"SYNGO:postsyn_ribosome","RPL10"
"SYNGO:presyn_ribosome","RPL10A"
"GO:0014069","RPL10A"
"SYNGO:postsyn_ribosome","RPL10A"
"SYNGO:presyn_ribosome","RPL11"
"SYNGO:postsyn_ribosome","RPL11"
"GO:0014069","RPL12"
"SYNGO:postsyn_ribosome","RPL12"
"SYNGO:presyn_ribosome","RPL12"
"SYNGO:presyn_ribosome","RPL13"
"SYNGO:postsyn_ribosome","RPL13"
"SYNGO:presyn_ribosome","RPL13A"
"SYNGO:postsyn_ribosome","RPL13A"
"GO:0014069","RPL14"
"SYNGO:presyn_ribosome","RPL14"
"SYNGO:postsyn_ribosome","RPL14"
"SYNGO:postsyn_ribosome","RPL15"
"SYNGO:presyn_ribosome","RPL15"
"SYNGO:postsyn_ribosome","RPL17"
"SYNGO:presyn_ribosome","RPL17"
"SYNGO:postsyn_ribosome","RPL18"
"SYNGO:presyn_ribosome","RPL18"
"GO:0014069","RPL18A"
"GO:0014069","RPL18A"
"SYNGO:postsyn_ribosome","RPL21"
"SYNGO:presyn_ribosome","RPL22"
"SYNGO:postsyn_ribosome","RPL22"
"SYNGO:presyn_ribosome","RPL23"
"SYNGO:postsyn_ribosome","RPL23"
"GO:0014069","RPL23"
"SYNGO:postsyn_ribosome","RPL23A"
"SYNGO:presyn_ribosome","RPL23A"
"SYNGO:presyn_ribosome","RPL24"
"SYNGO:postsyn_ribosome","RPL24"
"SYNGO:presyn_ribosome","RPL26"
"SYNGO:postsyn_ribosome","RPL26"
"SYNGO:presyn_ribosome","RPL27"
"SYNGO:postsyn_ribosome","RPL27"
"SYNGO:presyn_ribosome","RPL27A"
"SYNGO:postsyn_ribosome","RPL27A"
"SYNGO:postsyn_ribosome","RPL28"
"SYNGO:presyn_ribosome","RPL28"
"SYNGO:postsyn_ribosome","RPL29"
"SYNGO:presyn_ribosome","RPL29"
"GO:0014069","RPL30"
"GO:0014069","RPL30"
"SYNGO:postsyn_ribosome","RPL30"
"SYNGO:postsyn_ribosome","RPL31"
"SYNGO:presyn_ribosome","RPL32"
"SYNGO:postsyn_ribosome","RPL32"
"SYNGO:postsyn_ribosome","RPL34"
"SYNGO:presyn_ribosome","RPL34"
"SYNGO:postsyn_ribosome","RPL35"
"SYNGO:presyn_ribosome","RPL35"
"SYNGO:postsyn_ribosome","RPL35A"
"SYNGO:presyn_ribosome","RPL35A"
"SYNGO:postsyn_ribosome","RPL36"
"SYNGO:presyn_ribosome","RPL36"
"SYNGO:postsyn_ribosome","RPL36A"
"SYNGO:presyn_ribosome","RPL36A"
"SYNGO:presyn_ribosome","RPL37"
"SYNGO:postsyn_ribosome","RPL37"
"SYNGO:presyn_ribosome","RPL37A"
"SYNGO:postsyn_ribosome","RPL37A"
