"sample","genotype","days","rep","module","gsva_score"
"D65Ctrl_1123","Ctrl","D65","rep3","Mito_Ribosome_Assembly",-0.188058940848059
"D65Ctrl_222","Ctrl","D65","rep1","Mito_Ribosome_Assembly",-0.2335500966488
"D65Ctrl_423","Ctrl","D65","rep2","Mito_Ribosome_Assembly",-0.488036571161484
"D65GA_1123","G32A","D65","rep4","Mito_Ribosome_Assembly",-0.100484195591234
"D65GAF7_222","G32A","D65","rep1","Mito_Ribosome_Assembly",-0.133447495781609
"D65GAF7_423","G32A","D65","rep2","Mito_Ribosome_Assembly",-0.248459187699784
"D65GAG5_423","G32A","D65","rep3","Mito_Ribosome_Assembly",-0.192706479831046
"D65RC_1123","R403C","D65","rep4","Mito_Ribosome_Assembly",0.327291955360842
"D65RCD5_423","R403C","D65","rep2","Mito_Ribosome_Assembly",-0.493879674243575
"D65RCG3_222","R403C","D65","rep1","Mito_Ribosome_Assembly",0.228201884541887
"D65RCG3_423","R403C","D65","rep3","Mito_Ribosome_Assembly",-0.386474987999619
"D35Ctrl_222","Ctrl","D35","rep1","Mitochondrial_Ribosome",0.683936452589437
"D35Ctrl_322","Ctrl","D35","rep2","Mitochondrial_Ribosome",0.457442934827804
"D35Ctrl_323","Ctrl","D35","rep3","Mitochondrial_Ribosome",-0.178721862127347
"D35GAF7_322","G32A","D35","rep3","Mitochondrial_Ribosome",-0.108263995775705
"D35GAF7_323","G32A","D35","rep5","Mitochondrial_Ribosome",-0.529334114555457
"D35GAG5_222","G32A","D35","rep1","Mitochondrial_Ribosome",0.670306474533446
"D35GAG5_322","G32A","D35","rep2","Mitochondrial_Ribosome",-0.412527806072832
"D35GAG5_323","G32A","D35","rep4","Mitochondrial_Ribosome",-0.377680110967568
"D35RCD5_222","R403C","D35","rep1","Mitochondrial_Ribosome",0.674166973177849
"D35RCD5_322","R403C","D35","rep3","Mitochondrial_Ribosome",-0.195962813688292
"D35RCD5_323","R403C","D35","rep5","Mitochondrial_Ribosome",-0.419265942219556
"D35RCG3_222","R403C","D35","rep2","Mitochondrial_Ribosome",0.549865552280713
"D35RCG3_322","R403C","D35","rep4","Mitochondrial_Ribosome",-0.255564840170548
"D35RCG3_323","R403C","D35","rep6","Mitochondrial_Ribosome",-0.427961206716183
"D65Ctrl_1123","Ctrl","D65","rep3","Mitochondrial_Ribosome",-0.13271285054352
"D65Ctrl_222","Ctrl","D65","rep1","Mitochondrial_Ribosome",0.00918082558447181
"D65Ctrl_423","Ctrl","D65","rep2","Mitochondrial_Ribosome",-0.39710905279377
"D65GA_1123","G32A","D65","rep4","Mitochondrial_Ribosome",-0.162251303051757
"D65GAF7_222","G32A","D65","rep1","Mitochondrial_Ribosome",-0.139765818975207
"D65GAF7_423","G32A","D65","rep2","Mitochondrial_Ribosome",-0.408264417622912
"D65GAG5_423","G32A","D65","rep3","Mitochondrial_Ribosome",-0.530683425199654
"D65RC_1123","R403C","D65","rep4","Mitochondrial_Ribosome",-0.284478010519021
"D65RCD5_423","R403C","D65","rep2","Mitochondrial_Ribosome",-0.436413691826898
"D65RCG3_222","R403C","D65","rep1","Mitochondrial_Ribosome",0.479917432083393
"D65RCG3_423","R403C","D65","rep3","Mitochondrial_Ribosome",-0.445784964131862
"D35Ctrl_222","Ctrl","D35","rep1","OXPHOS",0.51664727003151
"D35Ctrl_322","Ctrl","D35","rep2","OXPHOS",0.39222961513234
"D35Ctrl_323","Ctrl","D35","rep3","OXPHOS",-0.226800903337896
"D35GAF7_322","G32A","D35","rep3","OXPHOS",0.27305634097834
"D35GAF7_323","G32A","D35","rep5","OXPHOS",-0.42504334949546
"D35GAG5_222","G32A","D35","rep1","OXPHOS",0.466095441488643
"D35GAG5_322","G32A","D35","rep2","OXPHOS",-0.313438462335839
"D35GAG5_323","G32A","D35","rep4","OXPHOS",-0.362251517912135
"D35RCD5_222","R403C","D35","rep1","OXPHOS",0.534259487231007
"D35RCD5_322","R403C","D35","rep3","OXPHOS",-0.0215464398744908
"D35RCD5_323","R403C","D35","rep5","OXPHOS",-0.35301167499307
"D35RCG3_222","R403C","D35","rep2","OXPHOS",0.269423385493569
"D35RCG3_322","R403C","D35","rep4","OXPHOS",-0.311440894794992
"D35RCG3_323","R403C","D35","rep6","OXPHOS",-0.422014782484611
"D65Ctrl_1123","Ctrl","D65","rep3","OXPHOS",0.0502693185300234
"D65Ctrl_222","Ctrl","D65","rep1","OXPHOS",-0.124274524781576
"D65Ctrl_423","Ctrl","D65","rep2","OXPHOS",-0.21285647850633
"D65GA_1123","G32A","D65","rep4","OXPHOS",0.0155910285007858
"D65GAF7_222","G32A","D65","rep1","OXPHOS",-0.30399870569026
"D65GAF7_423","G32A","D65","rep2","OXPHOS",-0.185983385648591
"D65GAG5_423","G32A","D65","rep3","OXPHOS",-0.304261664522014
"D65RC_1123","R403C","D65","rep4","OXPHOS",-0.0599120235034902
"D65RCD5_423","R403C","D65","rep2","OXPHOS",-0.253445952106163
"D65RCG3_222","R403C","D65","rep1","OXPHOS",0.312041387625195
"D65RCG3_423","R403C","D65","rep3","OXPHOS",-0.36259304642505
"D35Ctrl_222","Ctrl","D35","rep1","Ribosome_Biogenesis",0.669336853814234
"D35Ctrl_322","Ctrl","D35","rep2","Ribosome_Biogenesis",0.571132202339371
"D35Ctrl_323","Ctrl","D35","rep3","Ribosome_Biogenesis",0.432751757131483
"D35GAF7_322","G32A","D35","rep3","Ribosome_Biogenesis",-0.501749197545352
"D35GAF7_323","G32A","D35","rep5","Ribosome_Biogenesis",-0.663710388388036
"D35GAG5_222","G32A","D35","rep1","Ribosome_Biogenesis",0.69022969411939
"D35GAG5_322","G32A","D35","rep2","Ribosome_Biogenesis",-0.682454582932779
"D35GAG5_323","G32A","D35","rep4","Ribosome_Biogenesis",-0.218840530985888
"D35RCD5_222","R403C","D35","rep1","Ribosome_Biogenesis",0.712464534459564
"D35RCD5_322","R403C","D35","rep3","Ribosome_Biogenesis",-0.616421155075535
"D35RCD5_323","R403C","D35","rep5","Ribosome_Biogenesis",-0.473693252474591
"D35RCG3_222","R403C","D35","rep2","Ribosome_Biogenesis",0.609166131683078
"D35RCG3_322","R403C","D35","rep4","Ribosome_Biogenesis",-0.0530486533007626
"D35RCG3_323","R403C","D35","rep6","Ribosome_Biogenesis",-0.481471561897874
"D65Ctrl_1123","Ctrl","D65","rep3","Ribosome_Biogenesis",-0.134705078120742
"D65Ctrl_222","Ctrl","D65","rep1","Ribosome_Biogenesis",-0.00543925794948463
"D65Ctrl_423","Ctrl","D65","rep2","Ribosome_Biogenesis",-0.391893655901458
"D65GA_1123","G32A","D65","rep4","Ribosome_Biogenesis",-0.0725905143186049
"D65GAF7_222","G32A","D65","rep1","Ribosome_Biogenesis",0.0450859448045683
"D65GAF7_423","G32A","D65","rep2","Ribosome_Biogenesis",-0.283204315427347
"D65GAG5_423","G32A","D65","rep3","Ribosome_Biogenesis",-0.306182809767979
"D65RC_1123","R403C","D65","rep4","Ribosome_Biogenesis",0.351858312195965
"D65RCD5_423","R403C","D65","rep2","Ribosome_Biogenesis",-0.417860530496312
"D65RCG3_222","R403C","D65","rep1","Ribosome_Biogenesis",0.369161382941911
"D65RCG3_423","R403C","D65","rep3","Ribosome_Biogenesis",-0.391563096406426
"D35Ctrl_222","Ctrl","D35","rep1","Synaptic_Ribosomes",-0.253893511144477
"D35Ctrl_322","Ctrl","D35","rep2","Synaptic_Ribosomes",0.406487200256067
"D35Ctrl_323","Ctrl","D35","rep3","Synaptic_Ribosomes",-0.708493906195217
"D35GAF7_322","G32A","D35","rep3","Synaptic_Ribosomes",0.317406770625908
"D35GAF7_323","G32A","D35","rep5","Synaptic_Ribosomes",-0.151807282574248
"D35GAG5_222","G32A","D35","rep1","Synaptic_Ribosomes",0.264599861270525
"D35GAG5_322","G32A","D35","rep2","Synaptic_Ribosomes",0.553876733821605
"D35GAG5_323","G32A","D35","rep4","Synaptic_Ribosomes",-0.069308103084071
"D35RCD5_222","R403C","D35","rep1","Synaptic_Ribosomes",0.335516737279205
"D35RCD5_322","R403C","D35","rep3","Synaptic_Ribosomes",0.600154664473031
"D35RCD5_323","R403C","D35","rep5","Synaptic_Ribosomes",0.141209064597968
"D35RCG3_222","R403C","D35","rep2","Synaptic_Ribosomes",-0.0257012064142215
"D35RCG3_322","R403C","D35","rep4","Synaptic_Ribosomes",-0.202222416649036
"D35RCG3_323","R403C","D35","rep6","Synaptic_Ribosomes",-0.712515056914009
"D65Ctrl_1123","Ctrl","D65","rep3","Synaptic_Ribosomes",0.730532894469412
"D65Ctrl_222","Ctrl","D65","rep1","Synaptic_Ribosomes",-0.766537748355746
"D65Ctrl_423","Ctrl","D65","rep2","Synaptic_Ribosomes",0.677628301221632
"D65GA_1123","G32A","D65","rep4","Synaptic_Ribosomes",0.561702661146606
"D65GAF7_222","G32A","D65","rep1","Synaptic_Ribosomes",-0.795900279722703
"D65GAF7_423","G32A","D65","rep2","Synaptic_Ribosomes",0.396432388741559
"D65GAG5_423","G32A","D65","rep3","Synaptic_Ribosomes",-0.388244047519728
"D65RC_1123","R403C","D65","rep4","Synaptic_Ribosomes",-0.664022179378688
"D65RCD5_423","R403C","D65","rep2","Synaptic_Ribosomes",0.276152691977562
"D65RCG3_222","R403C","D65","rep1","Synaptic_Ribosomes",0.311266097780353
"D65RCG3_423","R403C","D65","rep3","Synaptic_Ribosomes",-0.287966971908784
