category,mutation,stage,n,mean_NES,sd_NES,se_NES
Mitochondrial Ribosome — structural,G32A,Early,4,-2.0192,0.1935,0.0968
Mitochondrial Ribosome — structural,G32A,Late,4,-1.2670,0.1994,0.0997
Mitochondrial Ribosome — structural,R403C,Early,4,-1.5715,0.1071,0.0536
Mitochondrial Ribosome — structural,R403C,Late,4,1.0517,0.2147,0.1073
Mitochondrial Ribosome — biogenesis,G32A,Early,2,-1.9454,0.0595,0.0421
Mitochondrial Ribosome — biogenesis,G32A,Late,2,0.0409,1.1397,0.8059
Mitochondrial Ribosome — biogenesis,R403C,Early,2,-1.7726,0.1678,0.1187
Mitochondrial Ribosome — biogenesis,R403C,Late,2,1.2411,0.0653,0.0462
Cytoplasmic Ribosome — biogenesis,G32A,Early,9,-2.1625,0.2762,0.0921
Cytoplasmic Ribosome — biogenesis,G32A,Late,9,-1.0106,0.6379,0.2126
Cytoplasmic Ribosome — biogenesis,R403C,Early,9,-1.5243,0.1856,0.0619
Cytoplasmic Ribosome — biogenesis,R403C,Late,9,-0.1154,0.7747,0.2582
Cytoplasmic Ribosome — structural,G32A,Early,7,0.1959,1.3558,0.5124
Cytoplasmic Ribosome — structural,G32A,Late,7,-2.2836,0.1824,0.0689
Cytoplasmic Ribosome — structural,R403C,Early,7,0.5989,0.8598,0.3250
Cytoplasmic Ribosome — structural,R403C,Late,7,-2.0315,0.3261,0.1233
Synaptic Ribosome,G32A,Early,2,2.3941,0.0906,0.0640
Synaptic Ribosome,G32A,Late,2,-2.4887,0.0052,0.0037
Synaptic Ribosome,R403C,Early,2,2.2624,0.0413,0.0292
Synaptic Ribosome,R403C,Late,2,-2.5295,0.0735,0.0520
